ID,Date,LEAVE,LVETIME,ARRIVE,ARRTIME,EQUIP,FAACARR,SEATS
0,2008-12-05,LAS,715,JFK,1459,,AAL,188
1,2008-12-12,LAS,715,JFK,1459,,AAL,188
2,2008-12-13,JFK,900,ORD,1054,CRJ9,DAL,85
3,2008-12-14,JFK,900,ORD,1054,CRJ9,DAL,85
4,2008-12-15,JFK,900,ORD,1054,CRJ9,DAL,85
5,2008-12-14,JFK,600,ATL,846,B738,DAL,150
6,2008-12-15,JFK,600,ATL,846,B738,DAL,150
7,2008-12-02,EDDF,1045,JFK,1335,A333,DLH,221
8,2008-12-09,DFW,825,JFK,1302,CRJ9,DAL,85
9,2008-12-15,JFK,2035,DCA,2205,E135,AAL,44
10,2008-12-01,JFK,1855,LIPZ,945,,DAL,242
11,2008-12-03,JFK,1855,LIPZ,945,,DAL,242
12,2008-12-04,JFK,1855,LIPZ,945,,DAL,242
13,2008-12-05,JFK,1855,LIPZ,945,,DAL,242
14,2008-12-08,JFK,1855,LIPZ,945,,DAL,242
15,2008-12-10,JFK,1855,LIPZ,945,,DAL,242
16,2008-12-11,JFK,1855,LIPZ,945,,DAL,242
17,2008-12-12,JFK,1855,LIPZ,945,,DAL,242
18,2008-12-03,ELLX,1015,JFK,1215,,CLX,0
19,2008-12-10,ELLX,1015,JFK,1215,,CLX,0
20,2008-12-13,SJU,1440,JFK,1804,B738,DAL,132
21,2008-12-14,SJU,1440,JFK,1804,B738,DAL,132
22,2008-12-15,SJU,1440,JFK,1804,B738,DAL,132
23,2008-12-15,SFO,910,JFK,1755,A320,VRD,149
24,2008-12-13,IAD,1226,JFK,1343,E145,UAL,49
25,2008-12-01,JFK,1130,LAX,1457,,UAL,172
26,2008-12-02,JFK,1130,LAX,1457,,UAL,172
27,2008-12-03,JFK,1130,LAX,1457,,UAL,172
28,2008-12-04,JFK,1130,LAX,1457,,UAL,172
29,2008-12-05,JFK,1130,LAX,1457,,UAL,172
30,2008-12-06,JFK,1130,LAX,1457,,UAL,172
31,2008-12-07,JFK,1130,LAX,1457,,UAL,172
32,2008-12-08,JFK,1130,LAX,1457,,UAL,172
33,2008-12-09,JFK,1130,LAX,1457,,UAL,172
34,2008-12-10,JFK,1130,LAX,1457,,UAL,172
35,2008-12-11,JFK,1130,LAX,1457,,UAL,172
36,2008-12-12,JFK,1130,LAX,1457,,UAL,172
37,2008-12-13,JFK,1130,LAX,1457,,UAL,172
38,2008-12-14,JFK,1130,LAX,1457,,UAL,172
39,2008-12-15,JFK,1130,LAX,1457,,UAL,172
40,2008-12-06,JFK,1830,LAX,2213,B738,DAL,132
41,2008-12-13,FLL,1440,JFK,1804,B738,DAL,132
42,2008-12-03,ANC,1300,JFK,2350,,CPA,0
43,2008-12-02,ATL,1250,JFK,1505,,DAL,242
44,2008-12-04,ATL,1250,JFK,1505,,DAL,242
45,2008-12-06,ATL,1250,JFK,1505,,DAL,242
