ID,Date,LEAVE,LVETIME,ARRIVE,ARRTIME,EQUIP,FAACARR,SEATS
0,2007-11-01,JFK,850,LAX,1200,B762,AAL,158
1,2007-11-02,JFK,850,LAX,1200,B762,AAL,158
2,2007-11-03,JFK,850,LAX,1200,B762,AAL,158
3,2007-11-01,LAX,930,JFK,1750,B762,AAL,158
4,2007-11-02,LAX,930,JFK,1750,B762,AAL,158
5,2007-11-03,LAX,930,JFK,1750,B762,AAL,158
6,2007-11-01,JFK,1200,LAX,1455,B762,AAL,158
7,2007-11-02,JFK,1200,LAX,1455,B762,AAL,158
8,2007-11-03,JFK,1200,LAX,1455,B762,AAL,158
9,2007-11-01,LAX,1200,JFK,2025,B762,AAL,158
10,2007-11-02,LAX,1200,JFK,2025,B762,AAL,158
11,2007-11-03,LAX,1200,JFK,2025,B762,AAL,158
12,2007-11-03,LAX,2130,JFK,445,B762,AAL,158
13,2007-11-01,LAX,2130,JFK,545,B762,AAL,158
14,2007-11-02,LAX,2130,JFK,545,B762,AAL,158
15,2007-11-01,SFO,1020,JFK,1855,B762,AAL,158
16,2007-11-02,SFO,1020,JFK,1855,B762,AAL,158
17,2007-11-03,SFO,1020,JFK,1855,B762,AAL,158
18,2007-11-01,JFK,1100,SFO,1405,B762,AAL,158
19,2007-11-02,JFK,1100,SFO,1405,B762,AAL,158
20,2007-11-03,JFK,1100,SFO,1405,B762,AAL,158
21,2007-11-01,SFO,1115,JFK,1955,B763,AAL,212
22,2007-11-02,SFO,1115,JFK,1955,B763,AAL,212
23,2007-11-03,SFO,1115,JFK,1955,B763,AAL,212
24,2007-11-01,JFK,2000,SFO,2330,B762,AAL,158
25,2007-11-02,JFK,2000,SFO,2330,B762,AAL,158
26,2007-11-03,SFO,2230,JFK,550,B763,AAL,212
27,2007-11-01,SFO,2230,JFK,650,B763,AAL,212
28,2007-11-02,SFO,2230,JFK,650,B763,AAL,212
29,2007-11-01,JFK,1100,LAX,1400,B762,AAL,158
30,2007-11-02,JFK,1100,LAX,1400,B762,AAL,158
31,2007-11-03,SFO,1530,JFK,2355,B762,AAL,158
32,2007-11-01,SFO,1530,JFK,2355,B762,AAL,158
33,2007-11-02,SFO,1530,JFK,2355,B762,AAL,158
34,2007-11-02,JFK,1900,LAX,2235,B762,AAL,158
35,2007-11-03,JFK,1900,LAX,2235,B762,AAL,158
36,2007-11-01,JFK,1900,LAX,2235,B762,AAL,158
