ID,Date,LEAVE,LVETIME,ARRIVE,ARRTIME,EQUIP,FAACARR,SEATS
0,2008-09-06,JFK,900,LAX,1210,B762,AAL,158
1,2008-09-13,JFK,900,LAX,1210,B762,AAL,158
2,2008-09-03,JFK,900,LAX,1210,B762,AAL,158
3,2008-09-04,JFK,900,LAX,1210,B762,AAL,158
4,2008-09-05,JFK,900,LAX,1210,B762,AAL,158
5,2008-09-02,JFK,900,LAX,1155,B762,AAL,158
6,2008-09-01,JFK,900,LAX,1155,B762,AAL,158
7,2008-09-07,JFK,900,LAX,1210,B762,AAL,158
8,2008-09-08,JFK,900,LAX,1210,B762,AAL,158
9,2008-09-09,JFK,900,LAX,1210,B762,AAL,158
10,2008-09-10,JFK,900,LAX,1210,B762,AAL,158
11,2008-09-11,JFK,900,LAX,1210,B762,AAL,158
12,2008-09-12,JFK,900,LAX,1210,B762,AAL,158
13,2008-09-14,JFK,900,LAX,1210,B762,AAL,158
14,2008-09-06,LAX,930,JFK,1800,B762,AAL,158
15,2008-09-05,LAX,930,JFK,1800,B762,AAL,158
16,2008-09-12,LAX,930,JFK,1800,B762,AAL,158
17,2008-09-03,LAX,930,JFK,1800,B762,AAL,158
18,2008-09-04,LAX,930,JFK,1800,B762,AAL,158
19,2008-09-08,LAX,930,JFK,1800,B762,AAL,158
20,2008-09-09,LAX,930,JFK,1800,B762,AAL,158
21,2008-09-10,LAX,930,JFK,1800,B762,AAL,158
22,2008-09-11,LAX,930,JFK,1800,B762,AAL,158
23,2008-09-07,LAX,930,JFK,1800,B762,AAL,158
24,2008-09-13,LAX,930,JFK,1800,B762,AAL,158
25,2008-09-14,LAX,930,JFK,1800,B762,AAL,158
26,2008-09-01,LAX,930,JFK,1810,B762,AAL,158
27,2008-09-02,LAX,930,JFK,1810,B762,AAL,158
28,2008-09-10,JFK,1230,LAX,1535,B762,AAL,158
29,2008-09-03,JFK,1230,LAX,1535,B762,AAL,158
30,2008-09-04,JFK,1230,LAX,1535,B762,AAL,158
31,2008-09-02,JFK,1200,LAX,1450,B762,AAL,158
32,2008-09-09,JFK,1230,LAX,1535,B762,AAL,158
33,2008-09-01,JFK,1200,LAX,1450,B762,AAL,158
34,2008-09-08,JFK,1230,LAX,1535,B762,AAL,158
35,2008-09-05,JFK,1230,LAX,1535,B762,AAL,158
36,2008-09-06,JFK,1230,LAX,1535,B762,AAL,158
37,2008-09-07,JFK,1230,LAX,1535,B762,AAL,158
38,2008-09-11,JFK,1230,LAX,1535,B762,AAL,158
39,2008-09-12,JFK,1230,LAX,1535,B762,AAL,158
40,2008-09-13,JFK,1230,LAX,1535,B762,AAL,158
41,2008-09-14,JFK,1230,LAX,1535,B762,AAL,158
42,2008-09-02,LAX,1205,JFK,2045,B762,AAL,158
43,2008-09-01,LAX,1205,JFK,2045,B762,AAL,158
44,2008-09-01,LAX,2130,JFK,550,B762,AAL,158
45,2008-09-03,LAX,2130,JFK,545,B762,AAL,158
46,2008-09-04,LAX,2130,JFK,545,B762,AAL,158
47,2008-09-05,LAX,2130,JFK,545,B762,AAL,158
48,2008-09-06,LAX,2130,JFK,545,B762,AAL,158
49,2008-09-07,LAX,2130,JFK,545,B762,AAL,158
50,2008-09-08,LAX,2130,JFK,545,B762,AAL,158
51,2008-09-09,LAX,2130,JFK,545,B762,AAL,158
52,2008-09-10,LAX,2130,JFK,545,B762,AAL,158
53,2008-09-11,LAX,2130,JFK,545,B762,AAL,158
54,2008-09-12,LAX,2130,JFK,545,B762,AAL,158
55,2008-09-13,LAX,2130,JFK,545,B762,AAL,158
56,2008-09-14,LAX,2130,JFK,545,B762,AAL,158
57,2008-09-06,JFK,1050,SFO,1405,B762,AAL,158
58,2008-09-13,JFK,1050,SFO,1405,B762,AAL,158
59,2008-09-12,JFK,1050,SFO,1405,B762,AAL,158
60,2008-09-11,JFK,1050,SFO,1405,B762,AAL,158
61,2008-09-03,JFK,1050,SFO,1405,B762,AAL,158
62,2008-09-04,JFK,1050,SFO,1405,B762,AAL,158
63,2008-09-05,JFK,1050,SFO,1405,B762,AAL,158
64,2008-09-02,JFK,1115,SFO,1405,B763,AAL,212
65,2008-09-09,JFK,1050,SFO,1405,B762,AAL,158
66,2008-09-10,JFK,1050,SFO,1405,B762,AAL,158
67,2008-09-01,JFK,1115,SFO,1405,B762,AAL,158
68,2008-09-08,JFK,1050,SFO,1405,B762,AAL,158
69,2008-09-07,JFK,1050,SFO,1405,B762,AAL,158
70,2008-09-14,JFK,1050,SFO,1405,B762,AAL,158
71,2008-09-06,SFO,1130,JFK,2010,B762,AAL,158
72,2008-09-13,SFO,1130,JFK,2010,B762,AAL,158
73,2008-09-05,SFO,1130,JFK,2010,B762,AAL,158
74,2008-09-12,SFO,1130,JFK,2010,B762,AAL,158
75,2008-09-03,SFO,1130,JFK,2010,B762,AAL,158
76,2008-09-04,SFO,1130,JFK,2010,B762,AAL,158
77,2008-09-02,SFO,1115,JFK,2005,B763,AAL,212
78,2008-09-08,SFO,1130,JFK,2010,B762,AAL,158
79,2008-09-09,SFO,1130,JFK,2010,B762,AAL,158
80,2008-09-10,SFO,1130,JFK,2010,B762,AAL,158
81,2008-09-11,SFO,1130,JFK,2010,B762,AAL,158
82,2008-09-07,SFO,1130,JFK,2010,B762,AAL,158
83,2008-09-01,SFO,1115,JFK,2005,B763,AAL,212
84,2008-09-14,SFO,1130,JFK,2010,B762,AAL,158
85,2008-09-01,SFO,2200,JFK,625,B762,AAL,158
86,2008-09-02,SFO,2200,JFK,625,B762,AAL,158
87,2008-09-03,SFO,2200,JFK,625,B762,AAL,158
88,2008-09-04,SFO,2200,JFK,625,B762,AAL,158
89,2008-09-05,SFO,2200,JFK,625,B762,AAL,158
90,2008-09-06,SFO,2200,JFK,625,B762,AAL,158
91,2008-09-07,SFO,2200,JFK,625,B762,AAL,158
92,2008-09-08,SFO,2200,JFK,625,B762,AAL,158
93,2008-09-09,SFO,2200,JFK,625,B762,AAL,158
94,2008-09-10,SFO,2200,JFK,625,B762,AAL,158
95,2008-09-11,SFO,2200,JFK,625,B762,AAL,158
96,2008-09-12,SFO,2200,JFK,625,B762,AAL,158
97,2008-09-13,SFO,2200,JFK,625,B762,AAL,158
98,2008-09-14,SFO,2200,JFK,625,B762,AAL,158
99,2008-09-03,JFK,1100,LAX,1400,B762,AAL,158
100,2008-09-04,JFK,1100,LAX,1400,B762,AAL,158
101,2008-09-05,JFK,1100,LAX,1400,B762,AAL,158
102,2008-09-01,JFK,1100,LAX,1345,B762,AAL,158
103,2008-09-02,JFK,1100,LAX,1345,B762,AAL,158
104,2008-09-07,JFK,1100,LAX,1400,B762,AAL,158
105,2008-09-08,JFK,1100,LAX,1400,B762,AAL,158
106,2008-09-09,JFK,1100,LAX,1400,B762,AAL,158
107,2008-09-10,JFK,1100,LAX,1400,B762,AAL,158
108,2008-09-11,JFK,1100,LAX,1400,B762,AAL,158
109,2008-09-12,JFK,1100,LAX,1400,B762,AAL,158
110,2008-09-14,JFK,1100,LAX,1400,B762,AAL,158
111,2008-09-03,SFO,1520,JFK,2345,B762,AAL,158
112,2008-09-04,SFO,1520,JFK,2345,B762,AAL,158
113,2008-09-05,SFO,1520,JFK,2345,B762,AAL,158
114,2008-09-06,SFO,1520,JFK,2345,B762,AAL,158
115,2008-09-01,SFO,1525,JFK,2359,B762,AAL,158
116,2008-09-07,SFO,1520,JFK,2345,B762,AAL,158
117,2008-09-08,SFO,1520,JFK,2345,B762,AAL,158
118,2008-09-09,SFO,1520,JFK,2345,B762,AAL,158
119,2008-09-10,SFO,1520,JFK,2345,B762,AAL,158
120,2008-09-11,SFO,1520,JFK,2345,B762,AAL,158
121,2008-09-12,SFO,1520,JFK,2345,B762,AAL,158
122,2008-09-13,SFO,1520,JFK,2345,B762,AAL,158
123,2008-09-14,SFO,1520,JFK,2345,B762,AAL,158
124,2008-09-06,JFK,1910,LAX,2235,B762,AAL,158
125,2008-09-13,JFK,1910,LAX,2235,B762,AAL,158
126,2008-09-05,JFK,1910,LAX,2235,B762,AAL,158
127,2008-09-12,JFK,1910,LAX,2235,B762,AAL,158
128,2008-09-11,JFK,1910,LAX,2235,B762,AAL,158
129,2008-09-03,JFK,1910,LAX,2235,B762,AAL,158
130,2008-09-04,JFK,1910,LAX,2235,B762,AAL,158
131,2008-09-02,JFK,1915,LAX,2225,B762,AAL,158
132,2008-09-09,JFK,1910,LAX,2235,B762,AAL,158
133,2008-09-10,JFK,1910,LAX,2235,B762,AAL,158
134,2008-09-01,JFK,1915,LAX,2225,B762,AAL,158
135,2008-09-14,JFK,1910,LAX,2235,B762,AAL,158
136,2008-09-07,JFK,1910,LAX,2235,B762,AAL,158
137,2008-09-08,JFK,1910,LAX,2235,B762,AAL,158
138,2008-09-05,LAX,1515,JFK,2335,B762,AAL,158
139,2008-09-04,LAX,1515,JFK,2335,B762,AAL,158
140,2008-09-03,LAX,1515,JFK,2335,B762,AAL,158
141,2008-09-10,LAX,1515,JFK,2335,B762,AAL,158
142,2008-09-11,LAX,1515,JFK,2335,B762,AAL,158
143,2008-09-12,LAX,1515,JFK,2335,B762,AAL,158
144,2008-09-02,LAX,1500,JFK,2335,B762,AAL,158
145,2008-09-09,LAX,1515,JFK,2335,B762,AAL,158
146,2008-09-01,LAX,1500,JFK,2335,B762,AAL,158
147,2008-09-08,LAX,1515,JFK,2335,B762,AAL,158
148,2008-09-07,LAX,1515,JFK,2335,B762,AAL,158
149,2008-09-14,LAX,1515,JFK,2335,B762,AAL,158
150,2008-09-05,SFO,810,JFK,1640,B763,AAL,212
151,2008-09-12,SFO,810,JFK,1640,B763,AAL,212
152,2008-09-03,SFO,810,JFK,1640,B763,AAL,212
153,2008-09-04,SFO,810,JFK,1640,B763,AAL,212
154,2008-09-02,SFO,805,JFK,1645,B763,AAL,212
155,2008-09-01,SFO,805,JFK,1645,B763,AAL,212
156,2008-09-06,SFO,810,JFK,1640,B763,AAL,212
157,2008-09-07,SFO,810,JFK,1640,B763,AAL,212
158,2008-09-08,SFO,810,JFK,1640,B763,AAL,212
159,2008-09-09,SFO,810,JFK,1640,B763,AAL,212
160,2008-09-10,SFO,810,JFK,1640,B763,AAL,212
161,2008-09-11,SFO,810,JFK,1640,B763,AAL,212
162,2008-09-13,SFO,810,JFK,1640,B763,AAL,212
163,2008-09-14,SFO,810,JFK,1640,B763,AAL,212
164,2008-09-06,LAX,2340,JFK,755,B762,AAL,158
165,2008-09-05,LAX,2340,JFK,755,B762,AAL,158
166,2008-09-04,LAX,2340,JFK,755,B762,AAL,158
167,2008-09-03,LAX,2340,JFK,755,B762,AAL,158
168,2008-09-10,LAX,2340,JFK,755,B762,AAL,158
169,2008-09-02,LAX,2330,JFK,759,B762,AAL,158
170,2008-09-09,LAX,2340,JFK,755,B762,AAL,158
171,2008-09-11,LAX,2340,JFK,755,B762,AAL,158
172,2008-09-13,LAX,2340,JFK,755,B762,AAL,158
173,2008-09-07,LAX,2340,JFK,755,B762,AAL,158
174,2008-09-08,LAX,2340,JFK,755,B762,AAL,158
175,2008-09-12,LAX,2340,JFK,755,B762,AAL,158
176,2008-09-14,LAX,2340,JFK,755,B762,AAL,158
177,2008-09-01,LAX,2330,JFK,759,B762,AAL,158
178,2008-09-06,LAX,1325,JFK,2155,B762,AAL,158
179,2008-09-13,LAX,1325,JFK,2155,B762,AAL,158
180,2008-09-03,LAX,1325,JFK,2155,B762,AAL,158
181,2008-09-04,LAX,1325,JFK,2155,B762,AAL,158
182,2008-09-05,LAX,1325,JFK,2155,B762,AAL,158
