ID,Date,LEAVE,LVETIME,ARRIVE,ARRTIME,EQUIP,FAACARR,SEATS
0,2007-08-01,JFK,900,LAX,1155,B762,AAL,158
1,2007-08-02,JFK,900,LAX,1155,B762,AAL,158
2,2007-08-03,JFK,900,LAX,1155,B762,AAL,158
3,2007-08-04,JFK,900,LAX,1155,B762,AAL,158
4,2007-08-05,JFK,900,LAX,1155,B762,AAL,158
5,2007-08-06,JFK,900,LAX,1155,B762,AAL,158
6,2007-08-07,JFK,900,LAX,1155,B762,AAL,158
7,2007-08-08,JFK,900,LAX,1155,B762,AAL,158
8,2007-08-09,JFK,900,LAX,1155,B762,AAL,158
9,2007-08-10,JFK,900,LAX,1155,B762,AAL,158
10,2007-08-11,JFK,900,LAX,1155,B762,AAL,158
11,2007-08-12,JFK,900,LAX,1155,B762,AAL,158
12,2007-08-13,JFK,900,LAX,1155,B762,AAL,158
13,2007-08-14,JFK,900,LAX,1155,B762,AAL,158
14,2007-08-15,JFK,900,LAX,1155,B762,AAL,158
15,2007-08-16,JFK,900,LAX,1155,B762,AAL,158
16,2007-08-17,JFK,900,LAX,1155,B762,AAL,158
17,2007-08-18,JFK,900,LAX,1155,B762,AAL,158
18,2007-08-19,JFK,900,LAX,1155,B762,AAL,158
19,2007-08-20,JFK,900,LAX,1155,B762,AAL,158
20,2007-08-21,JFK,900,LAX,1155,B762,AAL,158
21,2007-08-22,JFK,900,LAX,1155,B762,AAL,158
22,2007-08-23,JFK,900,LAX,1155,B762,AAL,158
23,2007-08-24,JFK,900,LAX,1155,B762,AAL,158
24,2007-08-25,JFK,900,LAX,1155,B762,AAL,158
25,2007-08-26,JFK,900,LAX,1155,B762,AAL,158
26,2007-08-27,JFK,900,LAX,1155,B762,AAL,158
27,2007-08-28,JFK,900,LAX,1155,B762,AAL,158
28,2007-08-29,JFK,900,LAX,1155,B762,AAL,158
29,2007-08-30,JFK,900,LAX,1155,B762,AAL,158
30,2007-08-31,JFK,900,LAX,1155,B762,AAL,158
31,2007-08-01,LAX,935,JFK,1805,B762,AAL,158
32,2007-08-02,LAX,935,JFK,1805,B762,AAL,158
33,2007-08-03,LAX,935,JFK,1805,B762,AAL,158
34,2007-08-04,LAX,935,JFK,1805,B762,AAL,158
35,2007-08-05,LAX,935,JFK,1805,B762,AAL,158
36,2007-08-06,LAX,935,JFK,1805,B762,AAL,158
37,2007-08-07,LAX,935,JFK,1805,B762,AAL,158
