ID,Date,LEAVE,LVETIME,ARRIVE,ARRTIME,EQUIP,FAACARR,SEATS
0,2008-05-01,JFK,900,LAX,1205,B762,AAL,158
1,2008-05-02,JFK,900,LAX,1205,B762,AAL,158
2,2008-05-03,JFK,900,LAX,1205,B762,AAL,158
3,2008-05-04,JFK,900,LAX,1205,B762,AAL,158
4,2008-05-05,JFK,900,LAX,1205,B762,AAL,158
5,2008-05-06,JFK,900,LAX,1205,B762,AAL,158
6,2008-05-07,JFK,900,LAX,1205,B762,AAL,158
7,2008-05-08,JFK,900,LAX,1205,B762,AAL,158
8,2008-05-09,JFK,900,LAX,1205,B762,AAL,158
9,2008-05-10,JFK,900,LAX,1205,B762,AAL,158
10,2008-05-11,JFK,900,LAX,1205,B762,AAL,158
11,2008-05-12,JFK,900,LAX,1205,B762,AAL,158
12,2008-05-13,JFK,900,LAX,1205,B762,AAL,158
13,2008-05-14,JFK,900,LAX,1205,B762,AAL,158
14,2008-05-14,LAX,935,JFK,1800,B762,AAL,158
15,2008-05-01,LAX,935,JFK,1800,B762,AAL,158
16,2008-05-02,LAX,935,JFK,1800,B762,AAL,158
17,2008-05-03,LAX,935,JFK,1800,B762,AAL,158
18,2008-05-04,LAX,935,JFK,1800,B762,AAL,158
19,2008-05-05,LAX,935,JFK,1800,B762,AAL,158
20,2008-05-06,LAX,935,JFK,1800,B762,AAL,158
21,2008-05-07,LAX,935,JFK,1800,B762,AAL,158
22,2008-05-08,LAX,935,JFK,1800,B762,AAL,158
23,2008-05-09,LAX,935,JFK,1800,B762,AAL,158
24,2008-05-10,LAX,935,JFK,1800,B762,AAL,158
25,2008-05-11,LAX,935,JFK,1800,B762,AAL,158
26,2008-05-12,LAX,935,JFK,1800,B762,AAL,158
27,2008-05-13,LAX,935,JFK,1800,B762,AAL,158
28,2008-05-01,JFK,1200,LAX,1450,B762,AAL,158
29,2008-05-02,JFK,1200,LAX,1450,B762,AAL,158
30,2008-05-03,JFK,1200,LAX,1450,B762,AAL,158
31,2008-05-07,JFK,1200,LAX,1450,B762,AAL,158
