ID,Date,LEAVE,LVETIME,ARRIVE,ARRTIME,EQUIP,FAACARR,SEATS
0,2007-03-01,JFK,900,LAX,1220,B762,AAL,158
1,2007-03-02,JFK,900,LAX,1220,B762,AAL,158
2,2007-03-03,JFK,900,LAX,1220,B762,AAL,158
3,2007-03-04,JFK,900,LAX,1220,B762,AAL,158
4,2007-03-05,JFK,900,LAX,1220,B762,AAL,158
5,2007-03-06,JFK,900,LAX,1220,B762,AAL,158
6,2007-03-07,JFK,900,LAX,1220,B762,AAL,158
7,2007-03-08,JFK,900,LAX,1220,B762,AAL,158
8,2007-03-09,JFK,900,LAX,1220,B762,AAL,158
9,2007-03-10,JFK,900,LAX,1220,B762,AAL,158
10,2007-03-01,LAX,930,JFK,1740,B762,AAL,158
11,2007-03-02,LAX,930,JFK,1740,B762,AAL,158
12,2007-03-03,LAX,930,JFK,1740,B762,AAL,158
13,2007-03-04,LAX,930,JFK,1740,B762,AAL,158
14,2007-03-05,LAX,930,JFK,1740,B762,AAL,158
15,2007-03-06,LAX,930,JFK,1740,B762,AAL,158
16,2007-03-07,LAX,930,JFK,1740,B762,AAL,158
17,2007-03-08,LAX,930,JFK,1740,B762,AAL,158
18,2007-03-09,LAX,930,JFK,1740,B762,AAL,158
19,2007-03-10,LAX,930,JFK,1740,B762,AAL,158
20,2007-03-01,JFK,1200,LAX,1515,B762,AAL,158
21,2007-03-02,JFK,1200,LAX,1515,B762,AAL,158
22,2007-03-03,JFK,1200,LAX,1515,B762,AAL,158
23,2007-03-04,JFK,1200,LAX,1515,B762,AAL,158
24,2007-03-05,JFK,1200,LAX,1515,B762,AAL,158
25,2007-03-06,JFK,1200,LAX,1515,B762,AAL,158
26,2007-03-07,JFK,1200,LAX,1515,B762,AAL,158
27,2007-03-08,JFK,1200,LAX,1515,B762,AAL,158
28,2007-03-09,JFK,1200,LAX,1515,B762,AAL,158
29,2007-03-10,JFK,1200,LAX,1515,B762,AAL,158
30,2007-03-01,LAX,1200,JFK,2015,B762,AAL,158
31,2007-03-02,LAX,1200,JFK,2015,B762,AAL,158
32,2007-03-03,LAX,1200,JFK,2015,B762,AAL,158
33,2007-03-04,LAX,1200,JFK,2015,B762,AAL,158
