ID,Date,LEAVE,LVETIME,ARRIVE,ARRTIME,EQUIP,FAACARR,SEATS
0,2008-03-06,JFK,900,LAX,1220,B762,AAL,158
1,2008-03-07,JFK,900,LAX,1220,B762,AAL,158
2,2008-03-08,JFK,900,LAX,1220,B762,AAL,158
3,2008-03-05,JFK,900,LAX,1220,B762,AAL,158
4,2008-03-01,JFK,900,LAX,1220,B762,AAL,158
5,2008-03-02,JFK,900,LAX,1220,B762,AAL,158
6,2008-03-03,JFK,900,LAX,1220,B762,AAL,158
7,2008-03-04,JFK,900,LAX,1220,B762,AAL,158
8,2008-03-03,LAX,930,JFK,1750,B762,AAL,158
9,2008-03-04,LAX,930,JFK,1750,B762,AAL,158
10,2008-03-05,LAX,930,JFK,1750,B762,AAL,158
11,2008-03-06,LAX,930,JFK,1750,B762,AAL,158
12,2008-03-07,LAX,930,JFK,1750,B762,AAL,158
13,2008-03-08,LAX,930,JFK,1750,B762,AAL,158
14,2008-03-01,LAX,930,JFK,1750,B762,AAL,158
15,2008-03-01,JFK,1200,LAX,1510,B762,AAL,158
16,2008-03-02,JFK,1200,LAX,1510,B762,AAL,158
17,2008-03-03,JFK,1200,LAX,1510,B762,AAL,158
18,2008-03-04,JFK,1200,LAX,1510,B762,AAL,158
19,2008-03-05,JFK,1200,LAX,1510,B762,AAL,158
20,2008-03-06,JFK,1200,LAX,1510,B762,AAL,158
21,2008-03-07,JFK,1200,LAX,1510,B762,AAL,158
22,2008-03-08,JFK,1200,LAX,1510,B762,AAL,158
23,2008-03-01,LAX,1200,JFK,2023,B762,AAL,158
24,2008-03-02,LAX,1200,JFK,2023,B762,AAL,158
25,2008-03-03,LAX,1200,JFK,2023,B762,AAL,158
26,2008-03-04,LAX,1200,JFK,2023,B762,AAL,158
27,2008-03-05,LAX,1200,JFK,2023,B762,AAL,158
28,2008-03-06,LAX,1200,JFK,2023,B762,AAL,158
29,2008-03-07,LAX,1200,JFK,2023,B762,AAL,158
30,2008-03-08,LAX,2130,JFK,638,B762,AAL,158
31,2008-03-01,LAX,2130,JFK,538,B762,AAL,158
32,2008-03-02,LAX,2130,JFK,538,B762,AAL,158
33,2008-03-03,LAX,2130,JFK,538,B762,AAL,158
34,2008-03-04,LAX,2130,JFK,538,B762,AAL,158
35,2008-03-05,LAX,2130,JFK,538,B762,AAL,158
36,2008-03-06,LAX,2130,JFK,538,B762,AAL,158
37,2008-03-07,LAX,2130,JFK,538,B762,AAL,158
38,2008-03-08,JFK,1100,SFO,1419,B762,AAL,158
39,2008-03-06,JFK,1100,SFO,1419,B763,AAL,212
40,2008-03-07,JFK,1100,SFO,1419,B763,AAL,212
41,2008-03-01,JFK,1100,SFO,1419,B762,AAL,158
42,2008-03-05,JFK,1100,SFO,1419,B763,AAL,212
43,2008-03-03,JFK,1100,SFO,1419,B763,AAL,212
44,2008-03-04,JFK,1100,SFO,1419,B763,AAL,212
45,2008-03-02,JFK,1100,SFO,1419,B763,AAL,212
46,2008-03-01,SFO,1130,JFK,1959,B762,AAL,158
47,2008-03-02,SFO,1130,JFK,1959,B763,AAL,212
48,2008-03-03,SFO,1130,JFK,1959,B763,AAL,212
49,2008-03-04,SFO,1130,JFK,1959,B763,AAL,212
50,2008-03-05,SFO,1130,JFK,1959,B763,AAL,212
51,2008-03-06,SFO,1130,JFK,1959,B763,AAL,212
52,2008-03-07,SFO,1130,JFK,1959,B763,AAL,212
53,2008-03-08,SFO,1130,JFK,1959,B763,AAL,212
54,2008-03-08,SFO,2230,JFK,745,B762,AAL,158
55,2008-03-06,SFO,2230,JFK,645,B762,AAL,158
56,2008-03-07,SFO,2230,JFK,645,B762,AAL,158
57,2008-03-01,SFO,2230,JFK,645,B762,AAL,158
58,2008-03-03,SFO,2230,JFK,645,B762,AAL,158
59,2008-03-04,SFO,2230,JFK,645,B762,AAL,158
60,2008-03-02,SFO,2230,JFK,645,B762,AAL,158
61,2008-03-05,SFO,2230,JFK,645,B762,AAL,158
62,2008-03-02,SFO,1530,JFK,2345,B763,AAL,212
63,2008-03-03,SFO,1530,JFK,2345,B763,AAL,212
64,2008-03-04,SFO,1530,JFK,2345,B763,AAL,212
65,2008-03-05,SFO,1530,JFK,2345,B763,AAL,212
66,2008-03-06,SFO,1530,JFK,2345,B763,AAL,212
67,2008-03-07,SFO,1530,JFK,2345,B763,AAL,212
68,2008-03-08,JFK,1900,LAX,2234,B762,AAL,158
69,2008-03-01,JFK,1900,LAX,2234,B762,AAL,158
70,2008-03-04,JFK,1900,LAX,2234,B762,AAL,158
71,2008-03-05,JFK,1900,LAX,2234,B762,AAL,158
72,2008-03-06,JFK,1900,LAX,2234,B762,AAL,158
73,2008-03-07,JFK,1900,LAX,2234,B762,AAL,158
74,2008-03-02,JFK,1900,LAX,2234,B762,AAL,158
75,2008-03-03,JFK,1900,LAX,2234,B762,AAL,158
76,2008-03-07,SFO,800,JFK,1618,B763,AAL,212
77,2008-03-08,SFO,800,JFK,1618,B763,AAL,212
78,2008-03-04,SFO,800,JFK,1618,B763,AAL,212
79,2008-03-05,SFO,800,JFK,1618,B763,AAL,212
80,2008-03-06,SFO,800,JFK,1618,B763,AAL,212
81,2008-03-01,SFO,800,JFK,1618,B763,AAL,212
82,2008-03-03,SFO,800,JFK,1618,B763,AAL,212
83,2008-03-02,SFO,800,JFK,1618,B763,AAL,212
84,2008-03-08,LAX,2345,JFK,858,B762,AAL,158
85,2008-03-01,LAX,2345,JFK,758,B762,AAL,158
86,2008-03-02,LAX,2345,JFK,758,B762,AAL,158
87,2008-03-03,LAX,2345,JFK,758,B762,AAL,158
88,2008-03-04,LAX,2345,JFK,758,B762,AAL,158
89,2008-03-05,LAX,2345,JFK,758,B762,AAL,158
90,2008-03-06,LAX,2345,JFK,758,B762,AAL,158
91,2008-03-07,LAX,2345,JFK,758,B762,AAL,158
92,2008-03-01,LAX,1330,JFK,2150,B762,AAL,158
93,2008-03-08,LAX,1330,JFK,2150,B762,AAL,158
94,2008-03-02,LAX,1330,JFK,2150,B762,AAL,158
95,2008-03-03,LAX,1330,JFK,2150,B762,AAL,158
96,2008-03-04,LAX,1330,JFK,2150,B762,AAL,158
97,2008-03-05,LAX,1330,JFK,2150,B762,AAL,158
98,2008-03-06,LAX,1330,JFK,2150,B762,AAL,158
99,2008-03-07,LAX,1330,JFK,2150,B762,AAL,158
100,2008-03-01,JFK,730,LAX,1045,B762,AAL,158
101,2008-03-02,JFK,730,LAX,1045,B762,AAL,158
102,2008-03-03,JFK,730,LAX,1045,B762,AAL,158
103,2008-03-04,JFK,730,LAX,1045,B762,AAL,158
104,2008-03-05,JFK,730,LAX,1045,B762,AAL,158
105,2008-03-06,JFK,730,LAX,1045,B762,AAL,158
106,2008-03-07,JFK,730,LAX,1045,B762,AAL,158
107,2008-03-08,LAX,800,JFK,1615,B762,AAL,158
108,2008-03-07,LAX,800,JFK,1615,B762,AAL,158
109,2008-03-01,LAX,800,JFK,1615,B762,AAL,158
110,2008-03-04,LAX,800,JFK,1615,B762,AAL,158
111,2008-03-05,LAX,800,JFK,1615,B762,AAL,158
112,2008-03-06,LAX,800,JFK,1615,B762,AAL,158
113,2008-03-03,LAX,800,JFK,1615,B762,AAL,158
114,2008-03-02,LAX,800,JFK,1615,B762,AAL,158
115,2008-03-04,LAX,1100,JFK,1920,B762,AAL,158
116,2008-03-05,LAX,1100,JFK,1920,B762,AAL,158
117,2008-03-06,LAX,1100,JFK,1920,B762,AAL,158
118,2008-03-07,LAX,1100,JFK,1920,B762,AAL,158
119,2008-03-08,LAX,1100,JFK,1920,B762,AAL,158
120,2008-03-03,LAX,1100,JFK,1920,B762,AAL,158
121,2008-03-01,LAX,1100,JFK,1920,B762,AAL,158
122,2008-03-02,LAX,1100,JFK,1920,B762,AAL,158
123,2008-03-08,JFK,1745,LFPG,710,B763,AAL,212
124,2008-03-01,JFK,1755,LFPG,730,B763,AAL,212
125,2008-03-02,JFK,1755,LFPG,730,B763,AAL,212
126,2008-03-03,JFK,1755,LFPG,730,B763,AAL,212
127,2008-03-04,JFK,1755,LFPG,730,B763,AAL,212
128,2008-03-05,JFK,1755,LFPG,730,B763,AAL,212
129,2008-03-06,JFK,1755,LFPG,730,B763,AAL,212
